DATE,REAINTRATREARAT10Y
6/1/2008,1.48755401
7/1/2008,1.44558109
8/1/2008,1.35649733
9/1/2008,1.23957472
10/1/2008,1.48506331
11/1/2008,1.63162854
12/1/2008,0.97537985
1/1/2009,0.93854104
2/1/2009,1.03930649
3/1/2009,1.25074177
4/1/2009,0.71281967
5/1/2009,1.0174109
6/1/2009,1.32210554
7/1/2009,1.26690282
8/1/2009,1.15904037
9/1/2009,0.94923764
10/1/2009,0.99714116
11/1/2009,1.06141004
12/1/2009,0.84804056
1/1/2010,1.29792486
2/1/2010,1.12451541
3/1/2010,0.99873153
4/1/2010,1.3091053
5/1/2010,1.22638786
6/1/2010,1.01936098
7/1/2010,0.84675907
8/1/2010,0.65616389
9/1/2010,0.57706775
10/1/2010,0.40880525
11/1/2010,0.33888956
12/1/2010,0.62620927
1/1/2011,0.86397716
2/1/2011,0.82968718
3/1/2011,0.87385088
4/1/2011,0.97750283
5/1/2011,0.71147484
6/1/2011,0.49226699
7/1/2011,0.57395235
8/1/2011,0.39497491
9/1/2011,0.21493888
10/1/2011,0.09856249
11/1/2011,0.13706953
12/1/2011,0.14446831
1/1/2012,0.14610051
2/1/2012,0.02185103
3/1/2012,0.16923691
4/1/2012,0.19464573
5/1/2012,-0.08722198
6/1/2012,-0.04815105
7/1/2012,-0.05482603
8/1/2012,-0.06008478
9/1/2012,-0.16925714
10/1/2012,-0.09317224
11/1/2012,-0.00573705
12/1/2012,-0.17237745
1/1/2013,0.08440142
2/1/2013,0.17210018
3/1/2013,0.05034072
4/1/2013,-0.02421188
5/1/2013,-0.01939123
6/1/2013,0.22769375
7/1/2013,0.54638104
8/1/2013,0.47506869
9/1/2013,0.54083451
10/1/2013,0.49296942
11/1/2013,0.48963774
12/1/2013,0.41829993
1/1/2014,0.68063671
2/1/2014,0.50867731
3/1/2014,0.58045318
4/1/2014,0.7022221
5/1/2014,0.62685415
6/1/2014,0.62452944
7/1/2014,0.59099495
8/1/2014,0.6494057
9/1/2014,0.58085993
10/1/2014,0.7009647
11/1/2014,0.71330026
12/1/2014,0.38472537
1/1/2015,0.7099428
2/1/2015,0.53838038
3/1/2015,0.75170542
4/1/2015,0.41032252
5/1/2015,0.53392144
6/1/2015,0.5537778
7/1/2015,0.6670749
8/1/2015,0.54830556
9/1/2015,0.51245991
10/1/2015,0.52877171
11/1/2015,0.6662057
12/1/2015,0.64742223
1/1/2016,0.73450597
2/1/2016,0.538738
3/1/2016,0.55140742
4/1/2016,0.34527268
5/1/2016,0.41364983
6/1/2016,0.51909852
7/1/2016,0.16534694
8/1/2016,0.22683746
9/1/2016,0.2160743
10/1/2016,0.28979681
11/1/2016,0.34660933
12/1/2016,0.70045658
1/1/2017,0.72565107
2/1/2017,0.77438158
3/1/2017,0.91650302
4/1/2017,0.76575378
5/1/2017,0.7764088
6/1/2017,0.73611135
7/1/2017,0.72501612
8/1/2017,0.67086016
9/1/2017,0.56521264
10/1/2017,0.72914351
11/1/2017,0.75219045
12/1/2017,0.57304923
1/1/2018,0.87378801
2/1/2018,1.08846929
3/1/2018,1.02953583
4/1/2018,1.01435433
5/1/2018,1.2160918
6/1/2018,1.24572814
7/1/2018,1.15523371
8/1/2018,1.25524162
9/1/2018,1.1321469
10/1/2018,1.30012681
11/1/2018,1.30865835
12/1/2018,1.25496666
1/1/2019,1.04043434
2/1/2019,1.06818285
3/1/2019,0.51720765
4/1/2019,0.42030375
5/1/2019,0.5404288
6/1/2019,0.42130162
7/1/2019,0.44057188
8/1/2019,0.42005179
9/1/2019,0.23500552
10/1/2019,0.36832453
11/1/2019,0.43361185
12/1/2019,0.51426493
1/1/2020,0.50509631
2/1/2020,0.31598579
3/1/2020,-0.12783745
4/1/2020,-0.11159442
5/1/2020,-0.02785652
6/1/2020,-0.15369936
7/1/2020,-0.3453445
8/1/2020,-0.407134
9/1/2020,-0.34333693
10/1/2020,-0.29173845
11/1/2020,-0.21395564
12/1/2020,-0.23232146
1/1/2021,-0.23501721
2/1/2021,-0.2308238
3/1/2021,0.01250687
4/1/2021,0.11804694
